Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
CASA MEYA,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,500",70 - 80,800 - 900,Jul 2020
CASA MEYA,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,700",70 - 80,800 - 900,Sep 2020
CASA MEYA,MEYAPPA CHETTIAR ROAD,13,Non-landed Properties,2,"2,450",70 - 80,800 - 900,Dec 2020
CASA NALLUR,NALLUR ROAD,15,Terrace House,NA,"4,100",150 - 160,"1,600 - 1,700",Feb 2020
CASA NALLUR,NALLUR ROAD,15,Terrace House,NA,"6,500",340 - 350,"3,700 - 3,800",Apr 2020
CASA NALLUR,NALLUR ROAD,15,Terrace House,NA,"3,900",150 - 160,"1,600 - 1,700",Jan 2020
CASA NALLUR,NALLUR ROAD,15,Terrace House,NA,"5,600",220 - 230,"2,300 - 2,400",Sep 2020
CASA NOVACREST,PECK HAY ROAD,09,Non-landed Properties,3,"3,700",140 - 150,"1,500 - 1,600",May 2020
CASA NOVACREST,PECK HAY ROAD,09,Non-landed Properties,3,"3,800",130 - 140,"1,400 - 1,500",Feb 2020
CASA NOVACREST,PECK HAY ROAD,09,Non-landed Properties,3,"3,800",140 - 150,"1,500 - 1,600",Jan 2020
CASA NOVACREST,PECK HAY ROAD,09,Non-landed Properties,3,"3,600",140 - 150,"1,500 - 1,600",Jul 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,3,"2,100",100 - 110,"1,000 - 1,100",May 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,3,"1,800",110 - 120,"1,200 - 1,300",Jan 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,3,"1,900",110 - 120,"1,200 - 1,300",Jun 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,2,"1,600",90 - 100,"900 - 1,000",Jun 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,3,"2,600",120 - 130,"1,300 - 1,400",Nov 2020
CASA PASIR RIS,JALAN LOYANG BESAR,17,Non-landed Properties,3,"2,100",100 - 110,"1,100 - 1,200",Nov 2020
CASA PERLA,WATTEN ESTATE ROAD,11,Detached House,NA,"9,800",350 - 360,"3,700 - 3,800",Sep 2020
CASA PERLA,WATTEN ESTATE ROAD,11,Detached House,NA,"9,650",360 - 370,"3,900 - 4,000",Dec 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"3,000",110 - 120,"1,200 - 1,300",May 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,450",110 - 120,"1,200 - 1,300",Mar 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,700",120 - 130,"1,300 - 1,400",Jun 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,600",110 - 120,"1,200 - 1,300",Jun 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,400",120 - 130,"1,300 - 1,400",Jun 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"3,800",150 - 160,"1,600 - 1,700",Aug 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,250",100 - 110,"1,100 - 1,200",Oct 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,530",110 - 120,"1,200 - 1,300",Nov 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"3,000",120 - 130,"1,300 - 1,400",Nov 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"3,000",110 - 120,"1,200 - 1,300",Nov 2020
CASA RIVIERA,LIM TUA TOW ROAD,19,Non-landed Properties,NA,"2,600",100 - 110,"1,100 - 1,200",Dec 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,100",100 - 110,"1,100 - 1,200",Jun 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"3,000",130 - 140,"1,400 - 1,500",Apr 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,500",100 - 110,"1,100 - 1,200",May 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"3,300",130 - 140,"1,400 - 1,500",Sep 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,500",100 - 110,"1,100 - 1,200",Sep 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,500",100 - 110,"1,100 - 1,200",Nov 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,850",100 - 110,"1,100 - 1,200",Nov 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"3,000",100 - 110,"1,100 - 1,200",Dec 2020
CASA ROSA,LORONG ONG LYE,19,Non-landed Properties,3,"2,700",100 - 110,"1,000 - 1,100",Dec 2020
