Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,000",50 - 60,600 - 700,Jan 2022
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,400",50 - 60,500 - 600,Jan 2022
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"2,600",50 - 60,600 - 700,Jan 2022
# 1 SUITES,LORONG 20 GEYLANG,14,Non-landed Properties,1,"1,900",50 - 60,500 - 600,Jan 2022
1 CANBERRA,CANBERRA DRIVE,27,Executive Condominium,3,"1,800",110 - 120,"1,200 - 1,300",Jan 2022
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-landed Properties,3,"3,500",130 - 140,"1,400 - 1,500",Jan 2022
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"4,800",110 - 120,"1,200 - 1,300",Jan 2022
1 MOULMEIN RISE,MOULMEIN RISE,11,Non-landed Properties,3,"4,250",110 - 120,"1,200 - 1,300",Jan 2022
1 NASSIM,NASSIM ROAD,10,Non-landed Properties,2,"4,658",150 - 160,"1,600 - 1,700",Jan 2022
1 NASSIM,NASSIM ROAD,10,Non-landed Properties,2,"5,266",170 - 180,"1,900 - 2,000",Jan 2022
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"3,100",90 - 100,"900 - 1,000",Jan 2022
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Jan 2022
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Jan 2022
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Jan 2022
10 SHELFORD,SHELFORD ROAD,11,Non-landed Properties,1,"2,000",60 - 70,600 - 700,Jan 2022
11 AMBER ROAD,AMBER ROAD,15,Non-landed Properties,3,"4,350",140 - 150,"1,500 - 1,600",Jan 2022
111 EMERALD HILL,EMERALD HILL ROAD,09,Non-landed Properties,3,"9,200",190 - 200,"2,100 - 2,200",Jan 2022
16 @ AMBER,AMBER ROAD,15,Non-landed Properties,1,"2,200",30 - 40,400 - 500,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,900",60 - 70,700 - 800,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,300",40 - 50,400 - 500,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,2,"2,850",70 - 80,800 - 900,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,100",40 - 50,400 - 500,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,300",40 - 50,400 - 500,Jan 2022
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Jan 2022
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,700",50 - 60,500 - 600,Jan 2022
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"2,900",50 - 60,500 - 600,Jan 2022
183 LONGHAUS,UPPER THOMSON ROAD,20,Non-landed Properties,2,"3,000",60 - 70,600 - 700,Jan 2022
1919,SOPHIA ROAD,09,Non-landed Properties,1,"3,000",50 - 60,500 - 600,Jan 2022
1919,SOPHIA ROAD,09,Non-landed Properties,1,"2,900",50 - 60,500 - 600,Jan 2022
2 RVG,RIVER VALLEY GROVE,09,Non-landed Properties,2,"3,800",80 - 90,"900 - 1,000",Jan 2022
21 RICHARDS,RICHARDS AVENUE,19,Non-landed Properties,2,"2,400",60 - 70,600 - 700,Jan 2022
21 RICHARDS,RICHARDS AVENUE,19,Non-landed Properties,1,"2,200",30 - 40,400 - 500,Jan 2022
24 ONE RESIDENCES,PASIR PANJANG ROAD,05,Non-landed Properties,3,"3,550",70 - 80,800 - 900,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,2,"2,750",50 - 60,500 - 600,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,500",50 - 60,500 - 600,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,700",40 - 50,400 - 500,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,900",40 - 50,400 - 500,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,700",40 - 50,400 - 500,Jan 2022
26 NEWTON,NEWTON ROAD,11,Non-landed Properties,1,"2,600",40 - 50,400 - 500,Jan 2022
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,2,"2,200",40 - 50,400 - 500,Jan 2022
28 IMPERIAL RESIDENCES,LORONG 26 GEYLANG,14,Non-landed Properties,1,"2,300",40 - 50,400 - 500,Jan 2022
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,600",70 - 80,800 - 900,Jan 2022
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,000",40 - 50,400 - 500,Jan 2022
28 RC SUITES,RACE COURSE LANE,08,Non-landed Properties,1,"2,200",40 - 50,400 - 500,Jan 2022
